"Originatiing ANS","Terminating IOS","No of Calls",Act_Dur_Min,Bill_Dur_Min,"X (Taka)","Y Value (USD)","Y (Taka)","Z (Taka)","Invoice Amount"
"Banglalink Digital Communications Ltd.","Bangla Trac Communications Ltd.(IOS)",3,2.083333333333,2.250000000000,13.50000000,0.06480000,7.1604000000,6.3396000000,0.950940000000
"Banglalink Digital Communications Ltd.","Digicon Telecommunications Ltd. (IOS)",2,1.616666666667,1.750000000000,17.50000000,0.12547500,13.8649875000,3.6350125000,0.545251875000
"Banglalink Digital Communications Ltd.","Mir Telecom Limited (IOS)",1,0.550000000000,0.750000000000,4.50000000,0.02160000,2.3868000000,2.1132000000,0.316980000000
"Banglalink Digital Communications Ltd.","Novotel Limited (IOS)",14,4.316666666667,6.000000000000,48.00000000,0.30150000,33.3157500000,14.6842500000,2.202637500000
"Banglalink Digital Communications Ltd.","Unique Infoway Limited (IOS)",4,2.066666666667,2.750000000000,16.50000000,0.07920000,8.7516000000,7.7484000000,1.162260000000
"Robi Axiata Limited","Bangla Trac Communications Ltd.(IOS)",1,0.566666666667,0.750000000000,9.00000000,0.02767500,3.0580875000,5.9419125000,0.891286875000
"Robi Axiata Limited","Digicon Telecommunications Ltd. (IOS)",1,0.500000000000,0.500000000000,6.00000000,0.01845000,2.0387250000,3.9612750000,0.594191250000
"Robi Axiata Limited","Novotel Limited (IOS)",2,0.033333333333,0.500000000000,3.00000000,0.01440000,1.5912000000,1.4088000000,0.211320000000
"Robi Axiata Limited","Unique Infoway Limited (IOS)",2,1.266666666667,1.500000000000,18.00000000,0.05535000,6.1161750000,11.8838250000,1.782573750000
